"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.143749131732946","9.56290588290858","4.7915869229933","7.07322978023797","0.571937313063884","-0.382596786964768","-17.0685424721106","4.82767975718357","4.59034951750613","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-1.51455365865012","0.494972615046734","5.93639168211295","-0.229607474911646","0.391086253144451","1.25383802355903","3.76768870091691","1.17555614086191","-2.91260889799531","-4.04261237287825","-4.29556127301781","-1.47687678402177","2.21063308236671","1.42089686776615","3.16559580811757","1.95727175013273","-0.106640530175412","1.90455578864869","5.05537995231337","1.55210847077369","3.65621749578733","2.13940816708484","6.81309876181932","7.58912911310749","7.33851389550809","7.86623122119599","2.50142708046471","-2.37417636196106","6.28737649804016","3.53755690628961","0.808605638163499","3.69781293797074","3.90988419292573","2.26229137888565","1.93867525330414","3.45337153741261","3.11610182847815","1.48961567987327","-4.95937203023655","4.59296183430193","3.05344808330554","2.7186545800413","3.20720055671239",
"Afghanistan","AFG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2696928807578","17.4760758595733","12.9917235906394","13.6675434460057","7.63312622043912","5.74181789016215","6.10714113128491","6.27060133814976","9.8076704185067","6.3940710078319","5.06099068169274","2.76578053402486","4.17112134442286","-0.765914428667429","9.20679243694582","11.0746416445024","4.84886805836136","-4.63025314891763","-12.8087400556664","-5.72521962070655","1.7963433248682","",
"Africa Western and Central","AFW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-8.64798308040649","-13.1659211032327","3.61094176053172","4.2604985699837","-2.82887039511446","2.56853375466311","5.28140718464113","1.52849878652562","13.9956637698931","-2.47312277244883","4.21582831649397","-5.10839442995426","-3.56482949526634","-1.46979731413069","5.07517871898293","2.72766834646569","1.17199757390776","-3.52043694441745","5.38436380441942","4.63594773822207","2.59179919814552","9.21664535338809","2.31515940333028","2.98382585065644","-0.46093162042834","-0.490271161099074","-0.122769541540762","2.34637373443995","3.64004152177522","8.44460282389801","3.85639939536667","3.13261184352646","4.39239749734924","-0.952030275202674","-5.33058973256959","4.00854132488682","3.34586047811689","4.47293995257334","-11.8649945233224","-2.77987321806901","6.13006617541541","3.47983817713188","4.24960433841073",
"Angola","AGO","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52721224100843","17.3697169753504","17.4995945453641","12.1702549003163","17.592674072453","8.87025289449011","-0.5353354516064","3.75506191370833","1.65359099838686","13.5629356056235","7.37417723668432","-1.22421609737938","0.641588882287451","0.757564699887652","-2.62333266351975","-3.52265293595764","-1.18095459219104","-12.7941878352012","-5.4361866557791","4.76628695958354","0.208555594071584","4.31199622242244",
"Albania","ALB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8525839052347","-16.9335224199257","18.0579792538298","20.1392523397319","27.2237987043213","21.2169670085571","7.52532364555765","11.7957429709768","7.11687149566509","6.27527537222099","9.24563323891998","6.44800103479817","6.94584463805748","0.847693006514035","0.991721646269482","1.82804068237728","-5.9877259970644","2.82388442339069","-1.48854279330486","5.68148293924639","2.86794772880789","2.69236391622272","8.26152154445809","0.308630161143356","-2.78406663183527","8.85228095163224","8.87206826860707","4.38034482373666","0.0107893321122248",
"Andorra","AND","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70682948279944","5.55434545850576","11.7770178645127","10.1273834955297","7.10060588643819","5.6705871830419","-2.8037580938677","-5.81281431650447","-9.39139680558445","-12.8647959183673","-9.27481921714435","-11.6589757655942","-7.49926943308007","-1.98633653200648","-0.278001611603543","5.36543978021091","2.86437363395835","8.24573175277716","7.75535505200082","-3.89581335890061","5.74972564929665","-1.22641509433963","14.3935052531041","6.03657009267764",
"Arab World","ARB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03659096586458","-1.89437184744895","3.95955661763499","9.02132160372109","4.63621948970395","5.99387846819739","2.49649987741125","5.49036800529812","-2.44080796727344","5.4516096490336","3.64975906090204","5.23890506370365","-0.0251036827166757","1.21038237400855","3.16682068531595","4.12673319040766","-0.145176952418808","2.67353383512254","0.281363422087438","-6.38674727055827","4.05238292499033","8.49385696800307","-1.36152338983604","-0.485316659211506",
"United Arab Emirates","ARE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.6981729050397","7.09153873457208","9.35979229655469","3.82841658458814","13.8193134310364","-2.68203146676777","2.57325814477316","-6.51233839706646","2.46674578184883","8.5320530764369","4.04429059457496","2.9588123590986","1.39282599215002","8.32265502955576","5.36984926424462","-3.8047410753189","3.60415626670512","-0.491941455421994","-7.43183068598773","3.31185388846367","8.68374544897681","0.915484018380781","2.979149475718",
"Argentina","ARG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","1.10973168809214","4.23108006804362","9.4742084109032","11.5461698030809","-0.93025074280439","6.3292660113858","3.12389382410676","0.805741915574856","6.03750326062902","-1.0910075681474","0.555648947286102","8.62908987394545","-8.33489904116936","7.5414052472055","-1.2889504608861","-10.6633342647625","-3.20938122189585","5.37768781572736","0.674286429664491","-8.65101189162193","8.63026418211921","3.35677692623644","-3.5519761838143","-8.5887611394292","-5.32530798648239","10.6874598654654","11.0167529206409","5.47029702567141","6.20635123777579","-3.5514369316778","6.19344587122571","8.37113960852946","1.94610164803552","-6.62248952143577","-2.19535196176197","-5.19148858795911","-11.3563772213886","14.1613607347498","10.8153351886694","6.53438408640605","8.66492235309941","6.03334742709707","3.07204281358982","-6.43334090641412","8.80489749044955","5.83091783894156","-2.20112663055619","0.551194177258154","-3.46203501608358","1.38980831410751","-5.82515874143607","2.3028329031401","-3.04931518944642","-4.7407553055391","-9.28398483969283","15.3831332837258","5.66364434365832","-0.206290550363448","-6.95360674154367",
"Armenia","ARM","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.9598156165782","-72.9526299594284","0.684444568329766","8.73140588609991","0.781348683911972","5.9805311587283","1.92289750716468","0.902494524015211","6.01442157782213","23.7235565588701","5.15513023321681","21.3375625432573","24.7310233905449","7.383981837318","14.7974580232203","16.5674367154294","11.2610049456394","7.43343155382816","-28.5527701308983","7.41934098514518","1.76821657845305","4.99154620058444","0.499999999999986","-2.30000000167621","2.80000000133822","-0.299999999874828","8.99999999723798","3.7000000066805","10.4999999950018","-2.49999999581179","2.59999999890033","9.79999999766883","1.99999999979867","6.80000000000027",
"American Samoa","ASM","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
